Theme,Year,Citation,DOI,Data,Code,Themes
1,2020,"Meireles JE, et al. 2020. Leaf reflectance spectra capture the evolutionary history of seed plants. New Phytologist 228 (2): 485-493.",[10.1111/nph.16771](https://doi.org/10.1111/nph.16771),[Figshare - Seed plant phylogeny](https://figshare.com/articles/dataset/seed_plant_phylogeny/12449153):&:[Figshare - Spectral Dataset](https://figshare.com/articles/dataset/Spectral_Dataset/12449147),,2
1,2021,"Stasinski L et al. 2021. Leaf spectra capture fine-scale diversity of closely related, hybridizing arctic shrubs. New Phytol. 2021 Dec",[10.1111/nph.17731](https://doi-org.ezp2.lib.umn.edu/10.1111/nph.17731),[Raw sequence reads in NCBI BioProject]( http://www.peptideatlas.org/PASS/PRJNA670097):&:[Leaf spectra](https://figshare.com/projects/Spectra_from_Dryas_alaskensis_Dryas_ajanensis_and_their_hybrids/96251),[Github](https://github.com/LanceStasinski/Dryas2),
1,2022,"Fontes, C. G., et al. 2022. Adaptive variation among oaks in wood anatomical properties is shaped by climate of origin and shows limited plasticity across environments. Functional Ecology 36:326-340.",[10.1111/1365-2435.13964](https://doi-org.ezp3.lib.umn.edu/10.1111/1365-2435.13964),[Dryad](https://doi-org.ezp3.lib.umn.edu/10.5061/dryad.5hqbzkh74),,
2,2021,"Laughlin DC, et al. Weigelt A. 2021. Root traits explain plant species distributions along climatic gradients yet challenge the nature of ecological trade-offs. Nature Ecology & Evolution 5: 1123–1134 ",[10.1038/s41559-021-01471-7](https://pubmed.ncbi.nlm.nih.gov/34112996/),[iDIV](https://doi.org/10.25829/idiv.3475-8-2316),[iDIV](https://doi.org/10.25829/idiv.3475-8-2316),3
2,2022,"Joswig, J.S., et al. 2022. Climatic and soil factors explain the two-dimensional spectrum of global plant trait variation. Nat Ecol Evol 6, 36–50.",[10.1038/s41559-021-01616-8](https://doi.org/10.1038/s41559-021-01616-8),[Github](https://github.com/juliajoswig/ Repo_ClimateSoil_TraitSpectrum),[Github](https://github.com/juliajoswig/ Repo_ClimateSoil_TraitSpectrum),"3, 4, 5"
2,2022,"Schuster MJ, et al. 2022. Patterns of belowground overyielding and fine‐root biomass in native and exotic angiosperms and gymnosperms.",[10.1111/oik.08877](https://doi.org/10.1111/oik.08877),[Data Respository of UMN](https://conservancy.umn.edu/handle/11299/226614),,3
2,2022,"Zu P-J, et al. 2022. Plant-insect chemical communication in ecological communities: an information theory perspective. Journal of Systematics and Evolution.",[10.1111/jse.12841](https://doi.org/10.1111/jse.12841),[Zenodo](https://zenodo.org/record/6308472),[Zenodo](https://zenodo.org/record/6308472),3
2,2022,"Kothari S, et al. 2022. Reflectance spectroscopy allows rapid, accurate and non-destructive estimates of functional traits from pressed leaves. Methods in Ecology and Evolution, 00, 1– 17. ",[10.1111/2041-210X.13958] (https://doi.org/10.1111/2041-210X.13958),[Data Respository of UMN](https://conservancy.umn.edu/handle/11299/228067),[DRUM](https://conservancy.umn.edu/handle/11299/228067),
3,2021,"Avolio, ML, et al. 2021. Determinants of community compositional change are equally affected by global change. Ecology Letters 24:1892-1904.",[10.1111/ele.13824](https://doi.org/10.1111/ele.13824),[EDI Data Portal](https://doi.org/10.6073/pasta/1d54a326d6420a678b1553d493bfca1a),[Github](https://github.com/mavolio/CoRRE-Community-Change-Paper),
3,2021,"Williams LJ, et al. 2021. Remote spectral detection of biodiversity effects on forest biomass. Nature Ecology & Evolution 5: 46-54.",[10.1038/s41559-020-01329-4](https://www.nature.com/articles/s41559-020-01329-4),[Data Repository of UMN](https://doi.org/10.13020/s7pf-am91),[UMN Data Repository](https://doi.org/10.13020/s7pf-am91),
3,2021,"Williams LJ, et al. 2021. Enhanced light interception and light use efficiency explain overyielding in young tree communities. Ecology letters 24: 996-1006.",[10.1111/ele.13717](https://doi.org/10.1111/ele.13717),[Dryad](https://doi.org/10.5061/dryad.9w0vt4bf1),,
3,2021,"Mori AS, et al. 2021. Biodiversity-productivity relationships are key to nature-based climate solutions. Nature Climate Change 11: 543-550.",[10.1038/s41558-021-01062-1](https://doi.org/10.1038/s41558-021-01062-1),[Dryad](https://doi.org/10.5061/dryad.vq83bk3s2),,
3,2021,"Pellegrini AFA, et al. 2021. Decadal changes in fire frequencies shift tree communities and functional traits. Nature Ecology and Evolution 5: 504–512.",[10.1038/s41559-021-01401-7](https://www.nature.com/articles/s41559-021-01401-7),[Wood density](https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.234):&:[Supporting information](https://onlinelibrary-wiley-com.ezp1.lib.umn.edu/action/downloadSupplement?doi=10.1111%2Fj.1365-2486.2011.02401.x&file=GCB_2401_sm_supplinfo.doc):&:[Jstor](https://www-jstor-org.ezp3.lib.umn.edu/stable/4216600?sid=primo&seq=2#metadata_info_tab_contents):&:[Plant Tissue Stoichiometry & Mycorrhizal data](https://www.pnas.org/doi/full/10.1073/pnas.1906655116#data-availability):&:[Supplementary Data](https://static-content.springer.com/esm/art%3A10.1038%2Fs41559-021-01401-7/MediaObjects/41559_2021_1401_MOESM3_ESM.xlsx) ,,
3,2021,"Pellegrini AFA, et al. 2021. Disease and fire interact to influence transitions between ecosystem states over a 54-year experiment. Ecology Letters 24: 1007-1017",[doi.org/10.1111/ele.13719](https://onlinelibrary.wiley.com/doi/10.1111/ele.13719),[Oak Wilt Dataset](https://figshare.com/articles/dataset/Dataset_for_oak_wilt/13729258/1),,
