Theme,Year,Citation,Link,Data,Code,Themes,,,,,,,,,,,,,,,,,,,
1,2026,"Ostrowsky L, et al. Evidence for adaptive variation in Quercus macrocarpa (L.) leaf morphology from a reciprocal transplant experiment across a latitudinal gradient. Forest Ecology and Management 600, 123292.",https://doi.org/10.1016/j.foreco.2025.123292,[Harvard Dataverse](https://doi.org/10.7910/DVN/ER5HAD),[Code in Supplementary Data](https://www.sciencedirect.com/science/article/abs/pii/S037811272500800X?via%3Dihub),,,,,,,,,,,,,,,,,,,,
1,2026,"Rea LMS, et al. Greater climate change adaptation potential in populations of Quercus macrocarpa at edges of latitudinal gradient. New Phytologist, 250: 1313-1329.",https://doi.org/10.1111/nph.71003,[Dryad](https://doi.org/10.5061/dryad.xwdbrv1ps),[Code in Supplementary Data](https://nph.onlinelibrary.wiley.com/doi/10.1111/nph.71003),,,,,,,,,,,,,,,,,,,,
3,2024,"Schroeder L, et al. Drivers of plant diversity, community composition, functional traits, and soil processes along an alpine gradient in the central Chilean Andes. Ecology and Evolution 14:e10888.",https://doi.org/10.1002/ece3.10888,[Dryad](https://doi.org/10.5061/dryad.2ngf1vhtt),,,,,,,,,,,,,,,,,,,,,
5,2024,"Lam OHY, et al. 'rtry': An R package to support plant trait data preprocessing. Ecology and Evolution, 14, e11292.",https://doi.org/10.1002/ece3.11292,[Github](https://github.com/MPI-BGC-Functional-Biogeography/rtry),[CRAN](https://cran.r-project.org/package=rtry),,,,,,,,,,,,,,,,,,,,
2,2024,"Gonçalves-Souza T, et al. ZooTraits: An R Shiny App for Exploring Animal Trait Data for Ecological and Evolutionary Research. Ecology and Evolution 14(5):e11334.",https://doi.org/10.1002/ece3.11334,[Github](https://github.com/thiago-goncalves-souza/zootraits),[Github](https://github.com/thiago-goncalves-souza/zootraits),,,,,,,,,,,,,,,,,,,,
4,2022,Cavender-Bares et al. Remotely detected aboveground plant function predicts belowground processes in two prairie diversity experiments. Ecological Monographs 92:e01488.,https://doi.org/10.1002/ecm.1488,[Data Repository of UMN](https://doi.org/10.13020/fvdj-zv57),[Data Repository of UMN](https://doi.org/10.13020/fvdj-zv57),,,,,,,,,,,,,,,,,,,,
3,2022,"Anoszko E, et al. Wind and fire: rapid shifts in community composition following multiple disturbances in the southern boreal forest. Ecosphere 13:e3952.",https://doi.org/10.1002/ecs2.3952,[Data Repository of UMN](https://conservancy.umn.edu/handle/11299/219223),,,,,,,,,,,,,,,,,,,,,
4,2022,"Avolio ML, et al. Making sense of multivariate community responses in global change experiments. Ecosphere 13(10): e4249.",https://doi.org/10.1002/ecs2.4249,[EDI](https://doi.org/10.6073/pasta/200b9c492419ec14c43a68d4411ad076),[Zenodo](https://doi.org/10.5281/zenodo.6689891),,,,,,,,,,,,,,,,,,,,
4,2023,"Gottschall F, et al. Tree community composition stabilizes ecosystem functions in response to drought. Ecosphere 14(4): e4486.",https://doi.org/10.1002/ecs2.4486,[Dryad](https://doi.org/10.5061/dryad.r4xgxd2j4),,,,,,,,,,,,,,,,,,,,,
4,2026,"Chadwick KD, et al. Unlocking ecological insights from sub‐seasonal visible‐to‐shortwave infrared imaging spectroscopy: The SHIFT campaign. Ecosphere 16(3): e70194.",https://doi.org/10.1002/ecs2.70194,[SHIFT 1](https://doi.org/10.3334/ORNLDAAC/2334):&:[SHIFT 2](https://doi.org/10.3334/ORNLDAAC/2184):&:[SHIFT 3]:&:(https://doi.org/10.3334/ORNLDAAC/2337):&:[SHIFT 4]:&:(https://doi.org/10.3334/ORNLDAAC/2295):&:[SHIFT 5]:&:(https://doi.org/10.3334/ORNLDAAC/2233):&:[SHIFT 6]:&:(https://doi.org/10.3334/ORNLDAAC/2244):&:[SHIFT 7]:&:(https://doi.org/10.3334/ORNLDAAC/2189):&:[SHIFT 8]:&:(https://doi.org/10.3334/ORNLDAAC/2245):&:[SHIFT 3]:&:(https://doi.org/10.3334/ORNLDAAC/2246):&:[SHIFT 9]:&:(https://doi.org/10.3334/ORNLDAAC/2234):&:[SHIFT 10]:&:(https://doi.org/10.3334/ORNLDAAC/2242):&:[SHIFT 11]:&:(https://doi.org/10.3334/ORNLDAAC/2376),,https://doi.org/10.3334/ORNLDAAC/2334; https://doi.org/10.3334/ORNLDAAC/2184; https://doi.org/10.3334/ORNLDAAC/2337; https://doi.org/10.3334/ORNLDAAC/2295; https://doi.org/10.3334/ORNLDAAC/2233; https://doi.org/10.3334/ORNLDAAC/2244; https://doi.org/10.3334/ORNLDAAC/2189; https://doi.org/10.3334/ORNLDAAC/2245; https://doi.org/10.3334/ORNLDAAC/2246; https://doi.org/10.3334/ORNLDAAC/2234; https://doi.org/10.3334/ORNLDAAC/2242; https://doi.org/10.3334/ORNLDAAC/2376,,,,,,,,,,,,,,,,,,,
3,2023,"Berthelot SJ, et al. Exotic Tree Species Have Consistently Lower Herbivore Load in a Cross-Atlantic Tree Biodiversity Experiment. Ecology 104(7): e4070.",https://doi.org/10.1002/ecy.4070,[Dryad](https://doi.org/10.5061/dryad.1zcrjdfxd),,,,,,,,,,,,,,,,,,,,,
4,2025,"Marcilio-Silva V, et al. Integrating remote sensing and field inventories to understand determinants of urban forest diversity and structure. Ecology 106(2): e70020.",https://doi.org/10.1002/ecy.70020,"Vegetation data are available (Marcilio-Silva et al., 2022) on the [Environmental Data Initiative (EDI) data portal](https://doi.org/10.6073/pasta/166a4b954ecaaabcda75bd51004804a5)",,,,,,,,,,,,,,,,,,,,,
4,2025,"Williams LJ, et al. Tree diversity shapes the spectral signature of light transmittance in developing forests. Ecology 106(3): e70032.",https://doi.org/10.1002/ecy.70032,[DRUM](https://doi.org/10.13020/z64a-da16),[DRUM](https://doi.org/10.13020/z64a-da16),,,,,,,,,,,,,,,,,,,,
4,2025,"Guzmán JA, et al. Seasonal structural stability promoted by forest diversity and composition explains overyielding. Ecology 106(3):e70055.",https://doi.org/10.1002/ecy.70055,[EDI](https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-cdr.738.1):&:[Dryad](https://datadryad.org/dataset/doi:10.5061/dryad.jdfn2z3hk),[Zenodo](https://zenodo.org/records/14645681),,,,,,,,,,,,,,,,,,,,
5,2023,"Isbell F, et al. Expert perspectives on global biodiversity loss and its drivers and impacts on people. Frontiers in Ecology and the Environment 21:94-103.",https://doi.org/10.1002/fee.2536,[EDI](https://doi.org/10.6073/pasta/127ceb32ee80675b1484e154c3920b45),,,,,,,,,,,,,,,,,,,,,
2,2024,"Pinto-Ledezma JN, et al. No branch left behind: tracking terrestrial biodiversity from a phylogenetic completeness perspective. Frontiers in Ecology and the Environment 22(2): e2696.",https://doi.org/10.1002/fee.2696,,[Github](https://github.com/jesusNPL/FITBITs),,,,,,,,,,,,,,,,,,,,
3,2024,"Nieves DJ, et al. Ectomycorrhizal fungal community response to warming and rainfall reduction differs between co-occurring temperate-boreal ecotonal Pinus saplings. Mycorrhiza 34:403-416",https://doi.org/10.1007/s00572-024-01169-1,[Environmental and growth Supplementary Data](https://doi.org/10.1007/s00572-024-01169-1):&:[Sequencing NCBI](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1079312),,,,,,,,,,,,,,,,,,,,,
3,2024,"Hajek P, et al. Quantifying the influence of tree species richness on community drought resistance using drone-derived NDVI and ground-based measures of Plant Area Index and leaf chlorophyll in a young tree diversity experiment. European Journal of Forest Research 143: 141–155.",https://doi.org/10.1007/s10342-023-01615-3,[Supplementary Data](https://doi.org/10.1007/s10342-023-01615-3),,,,,,,,,,,,,,,,,,,,,
